entry,at,order
"The admin ""rampurge 2 @ SUmXpIp4-U"" enqueued the game stop on next hand.",2024-05-29T04:32:34.056Z,171695715405600
"-- ending hand #177 --",2024-05-29T04:32:32.911Z,171695715291102
"""rampurge 2 @ SUmXpIp4-U"" collected 1.25 from pot",2024-05-29T04:32:32.911Z,171695715291101
"Uncalled bet of 1.25 returned to ""rampurge 2 @ SUmXpIp4-U""",2024-05-29T04:32:32.911Z,171695715291100
"""balls @ BB5N1jkh81"" folds",2024-05-29T04:32:32.055Z,171695715205500
"""Bsav @ 5sNMsT5aU2"" folds",2024-05-29T04:32:29.346Z,171695714934600
"""rampurge 2 @ SUmXpIp4-U"" raises to 1.75",2024-05-29T04:32:28.442Z,171695714844200
"""balls @ BB5N1jkh81"" posts a big blind of 0.50",2024-05-29T04:32:26.626Z,171695714662606
"""Bsav @ 5sNMsT5aU2"" posts a small blind of 0.25",2024-05-29T04:32:26.626Z,171695714662605
"Your hand is A♦, 5♥",2024-05-29T04:32:26.626Z,171695714662602
"Player stacks: #2 ""rampurge 2 @ SUmXpIp4-U"" (103.04) | #3 ""Bsav @ 5sNMsT5aU2"" (335.85) | #9 ""balls @ BB5N1jkh81"" (90.11)",2024-05-29T04:32:26.626Z,171695714662601
"-- starting hand #177 (id: omdlfrrc3lf0)  (No Limit Texas Hold'em) (dealer: ""rampurge 2 @ SUmXpIp4-U"") --",2024-05-29T04:32:26.626Z,171695714662600
"-- ending hand #176 --",2024-05-29T04:32:23.700Z,171695714370002
"""Bsav @ 5sNMsT5aU2"" collected 0.50 from pot",2024-05-29T04:32:23.700Z,171695714370001
"Uncalled bet of 0.25 returned to ""Bsav @ 5sNMsT5aU2""",2024-05-29T04:32:23.700Z,171695714370000
"""rampurge 2 @ SUmXpIp4-U"" folds",2024-05-29T04:32:22.857Z,171695714285700
"""balls @ BB5N1jkh81"" folds",2024-05-29T04:32:21.832Z,171695714183200
"""Bsav @ 5sNMsT5aU2"" posts a big blind of 0.50",2024-05-29T04:32:20.097Z,171695714009707
"""rampurge 2 @ SUmXpIp4-U"" posts a small blind of 0.25",2024-05-29T04:32:20.097Z,171695714009706
"Your hand is 2♣, 8♦",2024-05-29T04:32:20.097Z,171695714009703
"Player stacks: #2 ""rampurge 2 @ SUmXpIp4-U"" (103.29) | #3 ""Bsav @ 5sNMsT5aU2"" (335.60) | #9 ""balls @ BB5N1jkh81"" (90.11)",2024-05-29T04:32:20.097Z,171695714009702
"-- starting hand #176 (id: ctzbtyk3nyig)  (No Limit Texas Hold'em) (dead button) --",2024-05-29T04:32:20.097Z,171695714009701
"The player ""Martini @ 52kgKkRVv9"" quits the game with a stack of 71.08.",2024-05-29T04:32:20.097Z,171695714009700
"""rampurge 2 @ SUmXpIp4-U"" shows a 3♠, 3♦.",2024-05-29T04:32:17.492Z,171695713749200
"-- ending hand #175 --",2024-05-29T04:32:16.483Z,171695713648302
"""rampurge 2 @ SUmXpIp4-U"" collected 7.50 from pot",2024-05-29T04:32:16.483Z,171695713648301
"Uncalled bet of 12.50 returned to ""rampurge 2 @ SUmXpIp4-U""",2024-05-29T04:32:16.483Z,171695713648300
"""Bsav @ 5sNMsT5aU2"" folds",2024-05-29T04:32:15.654Z,171695713565400
"""rampurge 2 @ SUmXpIp4-U"" bets 12.50",2024-05-29T04:32:14.750Z,171695713475000
"River: 10♠, 10♦, 8♠, 4♦ [4♠]",2024-05-29T04:32:04.672Z,171695712467200
"""Bsav @ 5sNMsT5aU2"" checks",2024-05-29T04:32:03.869Z,171695712386900
"""rampurge 2 @ SUmXpIp4-U"" checks",2024-05-29T04:31:52.997Z,171695711299700
"Turn: 10♠, 10♦, 8♠ [4♦]",2024-05-29T04:31:52.179Z,171695711217900
"""rampurge 2 @ SUmXpIp4-U"" calls 1.50",2024-05-29T04:31:51.306Z,171695711130600
"""Martini @ 52kgKkRVv9"" folds",2024-05-29T04:31:50.058Z,171695711005800
"""Bsav @ 5sNMsT5aU2"" bets 1.50",2024-05-29T04:31:47.624Z,171695710762400
"""rampurge 2 @ SUmXpIp4-U"" checks",2024-05-29T04:31:36.613Z,171695709661300
"""Martini @ 52kgKkRVv9"" checks",2024-05-29T04:31:35.472Z,171695709547200
"Flop:  [10♠, 10♦, 8♠]",2024-05-29T04:31:31.834Z,171695709183400
"""rampurge 2 @ SUmXpIp4-U"" calls 1.50",2024-05-29T04:31:30.963Z,171695709096300
"""Martini @ 52kgKkRVv9"" calls 1.50",2024-05-29T04:31:28.430Z,171695708843000
"""balls @ BB5N1jkh81"" folds",2024-05-29T04:31:23.698Z,171695708369800
"""Bsav @ 5sNMsT5aU2"" raises to 1.50",2024-05-29T04:31:19.137Z,171695707913700
"""rampurge 2 @ SUmXpIp4-U"" posts a big blind of 0.50",2024-05-29T04:31:15.148Z,171695707514807
"""Martini @ 52kgKkRVv9"" posts a small blind of 0.25",2024-05-29T04:31:15.148Z,171695707514806
"Your hand is 3♠, 3♦",2024-05-29T04:31:15.148Z,171695707514802
"Player stacks: #2 ""rampurge 2 @ SUmXpIp4-U"" (98.79) | #3 ""Bsav @ 5sNMsT5aU2"" (338.60) | #9 ""balls @ BB5N1jkh81"" (90.11) | #10 ""Martini @ 52kgKkRVv9"" (72.58)",2024-05-29T04:31:15.148Z,171695707514801
"-- starting hand #175 (id: sx6zqghapoyp)  (No Limit Texas Hold'em) (dealer: ""balls @ BB5N1jkh81"") --",2024-05-29T04:31:15.148Z,171695707514800
"-- ending hand #174 --",2024-05-29T04:31:12.140Z,171695707214002
"""Martini @ 52kgKkRVv9"" collected 6.49 from pot",2024-05-29T04:31:12.140Z,171695707214001
"Uncalled bet of 5.12 returned to ""Martini @ 52kgKkRVv9""",2024-05-29T04:31:12.140Z,171695707214000
"""Bsav @ 5sNMsT5aU2"" folds",2024-05-29T04:31:11.252Z,171695707125200
"""Martini @ 52kgKkRVv9"" raises to 6.74",2024-05-29T04:30:56.500Z,171695705650000
"""Bsav @ 5sNMsT5aU2"" bets 1.62",2024-05-29T04:30:44.929Z,171695704492900
"""Martini @ 52kgKkRVv9"" checks",2024-05-29T04:30:38.350Z,171695703835000
"Flop:  [4♥, 8♥, 10♥]",2024-05-29T04:30:35.497Z,171695703549700
"""Martini @ 52kgKkRVv9"" calls 1.50",2024-05-29T04:30:34.656Z,171695703465600
"""balls @ BB5N1jkh81"" folds",2024-05-29T04:30:30.091Z,171695703009100
"""Bsav @ 5sNMsT5aU2"" raises to 1.50",2024-05-29T04:30:27.911Z,171695702791100
"""rampurge 2 @ SUmXpIp4-U"" folds",2024-05-29T04:30:22.810Z,171695702281000
"""Martini @ 52kgKkRVv9"" posts a big blind of 0.50",2024-05-29T04:30:21.885Z,171695702188507
"""balls @ BB5N1jkh81"" posts a small blind of 0.25",2024-05-29T04:30:21.885Z,171695702188506
"Your hand is 5♠, 10♣",2024-05-29T04:30:21.885Z,171695702188502
"Player stacks: #2 ""rampurge 2 @ SUmXpIp4-U"" (98.79) | #3 ""Bsav @ 5sNMsT5aU2"" (341.72) | #9 ""balls @ BB5N1jkh81"" (90.36) | #10 ""Martini @ 52kgKkRVv9"" (69.21)",2024-05-29T04:30:21.885Z,171695702188501
"-- starting hand #174 (id: kwhnfqg96i2q)  (No Limit Texas Hold'em) (dealer: ""Bsav @ 5sNMsT5aU2"") --",2024-05-29T04:30:21.885Z,171695702188500
"-- ending hand #173 --",2024-05-29T04:30:18.966Z,171695701896602
"""Martini @ 52kgKkRVv9"" collected 1.25 from pot",2024-05-29T04:30:18.966Z,171695701896601
"Uncalled bet of 1.00 returned to ""Martini @ 52kgKkRVv9""",2024-05-29T04:30:18.966Z,171695701896600
"""balls @ BB5N1jkh81"" folds",2024-05-29T04:30:18.163Z,171695701816300
"""Bsav @ 5sNMsT5aU2"" folds",2024-05-29T04:30:15.614Z,171695701561400
