entry,at,order
"""cucumber @ pMHqyREp0N"" calls 0.30",2024-06-13T03:36:15.080Z,171824977508000
"""doublex @ 8Lk3amQV12"" posts a big blind of 0.30",2024-06-13T03:36:08.588Z,171824976858811
"""Stuckbox @ U2t9VqvC6S"" posts a small blind of 0.10",2024-06-13T03:36:08.588Z,171824976858810
"Player stacks: #1 ""daze @ _mE1UMbOE9"" (97.12) | #3 ""Stuckbox @ U2t9VqvC6S"" (81.96) | #4 ""doublex @ 8Lk3amQV12"" (31.14) | #5 ""cucumber @ pMHqyREp0N"" (21.21) | #6 ""TILTJAM @ t_IWRml_Yp"" (91.46) | #7 ""Mr. D @ i25KRTzCD5"" (101.55) | #8 ""RichyMonk @ FEO1IFK9DF"" (111.61) | #9 ""bloop @ s5-VI_H0lj"" (400.50)",2024-06-13T03:36:08.588Z,171824976858801
"-- starting hand #231 (id: dkurfuij7qkx)  (No Limit Texas Hold'em) (dealer: ""daze @ _mE1UMbOE9"") --",2024-06-13T03:36:08.588Z,171824976858800
"-- ending hand #230 --",2024-06-13T03:36:05.544Z,171824976554402
"""cucumber @ pMHqyREp0N"" collected 1.78 from pot with Pair, 9's (combination: 9♠, 9♥, A♣, K♣, Q♥)",2024-06-13T03:36:05.544Z,171824976554401
"""cucumber @ pMHqyREp0N"" shows a 9♠, A♣.",2024-06-13T03:36:05.544Z,171824976554400
"""RichyMonk @ FEO1IFK9DF"" checks",2024-06-13T03:36:04.669Z,171824976466900
"""cucumber @ pMHqyREp0N"" checks",2024-06-13T03:36:02.602Z,171824976260200
"River: K♣, 5♦, 9♥, 2♦ [Q♥]",2024-06-13T03:35:55.773Z,171824975577300
"""RichyMonk @ FEO1IFK9DF"" checks",2024-06-13T03:35:54.970Z,171824975497000
"""cucumber @ pMHqyREp0N"" checks",2024-06-13T03:35:53.197Z,171824975319700
"Turn: K♣, 5♦, 9♥ [2♦]",2024-06-13T03:35:51.242Z,171824975124200
"""RichyMonk @ FEO1IFK9DF"" checks",2024-06-13T03:35:50.420Z,171824975042000
"""cucumber @ pMHqyREp0N"" checks",2024-06-13T03:35:47.919Z,171824974791900
"Flop:  [K♣, 5♦, 9♥]",2024-06-13T03:35:42.500Z,171824974250000
"""Stuckbox @ U2t9VqvC6S"" folds",2024-06-13T03:35:41.626Z,171824974162600
"""daze @ _mE1UMbOE9"" folds",2024-06-13T03:35:38.169Z,171824973816900
"""bloop @ s5-VI_H0lj"" folds",2024-06-13T03:35:35.862Z,171824973586200
"""RichyMonk @ FEO1IFK9DF"" calls 0.69",2024-06-13T03:35:34.864Z,171824973486400
"""Mr. D @ i25KRTzCD5"" folds",2024-06-13T03:35:33.241Z,171824973324100
"""TILTJAM @ t_IWRml_Yp"" folds",2024-06-13T03:35:32.182Z,171824973218200
"""cucumber @ pMHqyREp0N"" raises to 0.69",2024-06-13T03:35:31.318Z,171824973131800
"""doublex @ 8Lk3amQV12"" folds",2024-06-13T03:35:17.702Z,171824971770200
"""Stuckbox @ U2t9VqvC6S"" posts a big blind of 0.30",2024-06-13T03:35:16.623Z,171824971662311
"""daze @ _mE1UMbOE9"" posts a small blind of 0.10",2024-06-13T03:35:16.623Z,171824971662310
"Player stacks: #1 ""daze @ _mE1UMbOE9"" (97.22) | #3 ""Stuckbox @ U2t9VqvC6S"" (82.26) | #4 ""doublex @ 8Lk3amQV12"" (31.14) | #5 ""cucumber @ pMHqyREp0N"" (20.12) | #6 ""TILTJAM @ t_IWRml_Yp"" (91.46) | #7 ""Mr. D @ i25KRTzCD5"" (101.55) | #8 ""RichyMonk @ FEO1IFK9DF"" (112.30) | #9 ""bloop @ s5-VI_H0lj"" (400.50)",2024-06-13T03:35:16.623Z,171824971662301
"-- starting hand #230 (id: ojrdqnmeqkui)  (No Limit Texas Hold'em) (dealer: ""bloop @ s5-VI_H0lj"") --",2024-06-13T03:35:16.623Z,171824971662300
"-- ending hand #229 --",2024-06-13T03:35:13.624Z,171824971362402
"""daze @ _mE1UMbOE9"" collected 3.60 from pot",2024-06-13T03:35:13.624Z,171824971362401
"Uncalled bet of 3.60 returned to ""daze @ _mE1UMbOE9""",2024-06-13T03:35:13.624Z,171824971362400
"""bloop @ s5-VI_H0lj"" folds",2024-06-13T03:35:12.735Z,171824971273500
"""daze @ _mE1UMbOE9"" bets 3.60",2024-06-13T03:35:10.653Z,171824971065300
"""bloop @ s5-VI_H0lj"" checks",2024-06-13T03:35:08.405Z,171824970840500
"Turn: 4♠, 7♦, 7♣ [K♠]",2024-06-13T03:35:06.193Z,171824970619300
"""daze @ _mE1UMbOE9"" checks",2024-06-13T03:35:05.302Z,171824970530200
"""bloop @ s5-VI_H0lj"" checks",2024-06-13T03:35:03.151Z,171824970315100
"Flop:  [4♠, 7♦, 7♣]",2024-06-13T03:35:01.255Z,171824970125500
"""bloop @ s5-VI_H0lj"" calls 1.60",2024-06-13T03:35:00.427Z,171824970042700
"""daze @ _mE1UMbOE9"" raises to 1.60",2024-06-13T03:34:59.030Z,171824969903000
"""bloop @ s5-VI_H0lj"" calls 0.30",2024-06-13T03:34:54.992Z,171824969499200
"""RichyMonk @ FEO1IFK9DF"" folds",2024-06-13T03:34:53.599Z,171824969359900
"""Mr. D @ i25KRTzCD5"" folds",2024-06-13T03:34:52.751Z,171824969275100
"""TILTJAM @ t_IWRml_Yp"" folds",2024-06-13T03:34:51.810Z,171824969181000
"""cucumber @ pMHqyREp0N"" folds",2024-06-13T03:34:50.943Z,171824969094300
"""doublex @ 8Lk3amQV12"" folds",2024-06-13T03:34:49.919Z,171824968991900
"""Stuckbox @ U2t9VqvC6S"" folds",2024-06-13T03:34:48.955Z,171824968895500
"""doublex @ 8Lk3amQV12"" posts a missed big blind of 0.30",2024-06-13T03:34:11.347Z,171824965134714
"""doublex @ 8Lk3amQV12"" posts a missing small blind of 0.10",2024-06-13T03:34:11.347Z,171824965134713
"""daze @ _mE1UMbOE9"" posts a big blind of 0.30",2024-06-13T03:34:11.347Z,171824965134712
"""bloop @ s5-VI_H0lj"" posts a small blind of 0.10",2024-06-13T03:34:11.347Z,171824965134711
