entry,at,order
"""Mango @ RnAlJZFvW6"" folds",2024-06-15T03:22:45.987Z,171842176598700
"""Gabe @ vr66CNzhqh"" calls 1.50",2024-06-15T03:22:41.401Z,171842176140100
"""yolo @ D4bms38CPT"" calls 1.50",2024-06-15T03:22:39.847Z,171842175984700
"""Mattox @ QdR2WpQMd9"" folds",2024-06-15T03:22:34.064Z,171842175406400
"""AA @ FYqxPKGGEP"" calls 1.50",2024-06-15T03:22:33.168Z,171842175316800
"""jish @ Qx3WtYjAgm"" folds",2024-06-15T03:22:31.624Z,171842175162400
"""JH @ p1XQnbxYDk"" raises to 1.50",2024-06-15T03:22:29.843Z,171842174984300
"""rampurge @ SUmXpIp4-U"" folds",2024-06-15T03:22:26.615Z,171842174661500
"""housto @ RL6ZahFnpa"" folds",2024-06-15T03:22:25.789Z,171842174578900
"""Mango @ RnAlJZFvW6"" posts a big blind of 0.50",2024-06-15T03:22:18.554Z,171842173855413
"""Gabe @ vr66CNzhqh"" posts a small blind of 0.25",2024-06-15T03:22:18.554Z,171842173855412
"Your hand is J♠, 7♦",2024-06-15T03:22:18.554Z,171842173855410
"Player stacks: #1 ""jish @ Qx3WtYjAgm"" (66.84) | #2 ""AA @ FYqxPKGGEP"" (38.29) | #3 ""Mattox @ QdR2WpQMd9"" (112.11) | #4 ""yolo @ D4bms38CPT"" (167.37) | #5 ""Gabe @ vr66CNzhqh"" (108.40) | #6 ""Mango @ RnAlJZFvW6"" (117.70) | #8 ""housto @ RL6ZahFnpa"" (160.76) | #9 ""rampurge @ SUmXpIp4-U"" (183.34) | #10 ""JH @ p1XQnbxYDk"" (50.00)",2024-06-15T03:22:18.554Z,171842173855402
"-- starting hand #90 (id: pzeco4p33jv3)  (No Limit Texas Hold'em) (dealer: ""yolo @ D4bms38CPT"") --",2024-06-15T03:22:18.554Z,171842173855401
"The player ""JH @ p1XQnbxYDk"" joined the game with a stack of 50.00.",2024-06-15T03:22:18.554Z,171842173855400
