entry,at,order
"""gg @ 3MTWnFXimt"" bets 14.75",2024-05-28T22:36:24.473Z,171693578447300
"""rbd @ i9QjFAKSgr"" checks",2024-05-28T22:36:19.681Z,171693577968100
"Turn: 6♠, A♠, 9♠ [4♣]",2024-05-28T22:36:17.129Z,171693577712900
"""rbd @ i9QjFAKSgr"" calls 6.00",2024-05-28T22:36:16.313Z,171693577631300
"""gg @ 3MTWnFXimt"" bets 6.00",2024-05-28T22:36:09.696Z,171693576969600
"""rbd @ i9QjFAKSgr"" checks",2024-05-28T22:36:04.720Z,171693576472000
"Flop:  [6♠, A♠, 9♠]",2024-05-28T22:36:01.164Z,171693576116400
"""rbd @ i9QjFAKSgr"" calls 8.00",2024-05-28T22:36:00.347Z,171693576034700
"""al @ YSDCeva8ZN"" folds",2024-05-28T22:35:58.317Z,171693575831700
"""arnav @ 2Ad_lqR7T8"" folds",2024-05-28T22:35:52.840Z,171693575284000
"""bbb @ XIdYl9Rz6c"" folds",2024-05-28T22:35:51.865Z,171693575186500
"""gg @ 3MTWnFXimt"" raises to 8.00",2024-05-28T22:35:50.960Z,171693575096000
"""rbd @ i9QjFAKSgr"" raises to 2.00",2024-05-28T22:35:45.790Z,171693574579000
"""al @ YSDCeva8ZN"" posts a big blind of 1.00",2024-05-28T22:35:43.707Z,171693574370708
"""arnav @ 2Ad_lqR7T8"" posts a small blind of 0.50",2024-05-28T22:35:43.707Z,171693574370707
"Player stacks: #1 ""rbd @ i9QjFAKSgr"" (261.27) | #4 ""gg @ 3MTWnFXimt"" (85.25) | #5 ""bbb @ XIdYl9Rz6c"" (146.75) | #7 ""arnav @ 2Ad_lqR7T8"" (320.75) | #9 ""al @ YSDCeva8ZN"" (229.26)",2024-05-28T22:35:43.707Z,171693574370701
"-- starting hand #370 (id: x8t7opblgae0)  (No Limit Texas Hold'em) (dealer: ""bbb @ XIdYl9Rz6c"") --",2024-05-28T22:35:43.707Z,171693574370700
"-- ending hand #369 --",2024-05-28T22:35:40.772Z,171693574077202
"""gg @ 3MTWnFXimt"" collected 7.00 from pot",2024-05-28T22:35:40.772Z,171693574077201
"Uncalled bet of 3.00 returned to ""gg @ 3MTWnFXimt""",2024-05-28T22:35:40.772Z,171693574077200
"""rbd @ i9QjFAKSgr"" folds",2024-05-28T22:35:39.958Z,171693573995800
"""bbb @ XIdYl9Rz6c"" folds",2024-05-28T22:35:37.815Z,171693573781500
"""gg @ 3MTWnFXimt"" bets 3.00",2024-05-28T22:35:36.143Z,171693573614300
"""rbd @ i9QjFAKSgr"" checks",2024-05-28T22:35:29.316Z,171693572931600
"""bbb @ XIdYl9Rz6c"" checks",2024-05-28T22:35:26.684Z,171693572668400
"Flop:  [6♦, 8♥, 4♣]",2024-05-28T22:35:24.751Z,171693572475100
"""arnav @ 2Ad_lqR7T8"" folds",2024-05-28T22:35:23.946Z,171693572394600
"""bbb @ XIdYl9Rz6c"" calls 2.00",2024-05-28T22:35:21.644Z,171693572164400
"""gg @ 3MTWnFXimt"" calls 2.00",2024-05-28T22:35:20.327Z,171693572032700
"""rbd @ i9QjFAKSgr"" raises to 2.00",2024-05-28T22:35:16.500Z,171693571650000
